id,name
0,"The video shows someone physically abusing another person: In this scenario, we might see one person attacking another physically, hitting, slapping, kicking or using some form of force against them. We might also see the victim trying to defend themselves, trying to escape or calling for help."
0,"The video shows someone emotionally abusing another person: Emotional abuse can be harder to identify, but it can be just as damaging as physical abuse. In this scenario, we might see one person belittling, insulting, threatening or manipulating another person. The victim might look visibly upset or distressed, or they might try to avoid the abuser."
0,"The video shows someone being sexually abused: This is a sensitive and distressing topic. In this scenario, we might see someone being touched inappropriately or coerced into sexual activity against their will. The victim might be visibly uncomfortable or trying to resist, or they might be too afraid to say anything."
0,"The video shows someone verbally abusing another person: Verbal abuse can take many forms, including name-calling, yelling, screaming or using foul language. In this scenario, we might see one person verbally attacking another person, and the victim might try to defend themselves, walk away or simply endure the abuse."
0,"The video shows someone neglecting or exploiting another person: Neglect and exploitation are also forms of abuse. In this scenario, we might see one person failing to provide care or support for another person who is dependent on them, or we might see someone taking advantage of another person for their own gain"
1,"An officer is apprehending a suspect: In this scenario, the video might show an officer physically apprehending a suspect who is resisting arrest. The suspect might be struggling or trying to flee, and the officer might be using physical force to restrain them."
1,"An officer is making a traffic stop: In this scenario, the video might show an officer pulling over a driver and conducting a traffic stop. The officer might be asking for the driver's license and registration, conducting a search of the vehicle, or administering a sobriety test."
1,"A suspect is being taken into custody: In this scenario, the video might show a suspect being escorted into a police car or a station. The suspect might be handcuffed, and they might be accompanied by officers or detectives."
1,"An officer is executing a search warrant: In this scenario, the video might show officers entering a building or residence to execute a search warrant. The officers might be searching for evidence of a crime, and they might be wearing protective gear or carrying weapons."
1,"An officer is using force to subdue a suspect: In this scenario, the video might show an officer using force to subdue a suspect who is resisting arrest or acting aggressively. The officer might be using a Taser, pepper spray, or a baton to restrain the suspect."
2,"The video shows someone starting a fire intentionally: In this scenario, we might see someone starting a fire using an accelerant, such as gasoline or lighter fluid, and igniting it intentionally. They might be acting alone or as part of a group, and they might be trying to cause damage, destruction, or harm to people or property."
2,"The video shows someone accidentally starting a fire: In this scenario, we might see someone unintentionally starting a fire, such as by leaving a stove or appliance on, or by failing to properly extinguish a cigarette. The fire might start small, but it can quickly grow out of control and cause significant damage."
2,"The video shows someone attempting to prevent or contain a fire: In this scenario, we might see someone trying to prevent a fire from starting or spreading, such as by using a fire extinguisher or calling for help. They might be trying to protect themselves, others, or property."
2,"The video shows someone fleeing from a fire: In this scenario, we might see someone running away from a fire, trying to escape danger or find safety. They might be disoriented or panicked, and they might be trying to help others or find a way out."
2,"The video shows emergency responders responding to a fire: In this scenario, we might see firefighters, police, or other emergency responders arriving at the scene of a fire and working to extinguish it or evacuate people. They might be using specialized equipment, such as hoses, ladders, or breathing apparatus, and they might be coordinating their efforts with other agencies."
